FRAGMENT	FPFMIN	FPSMIN	FPFMAX	FPSMAX	FPFAVG	FPSAVG
IJDNQMDRQITEOD-UHFFFAOYSA-N~O14684	1.00	1.00	1.00	1.00	1.00	1.00
DYBAQWLAKFCVBP-UHFFFAOYSA-N~P05106	0.00	0.00	1.00	1.00	0.66	0.28
XXJWXESWEXIICW-UHFFFAOYSA-N~O14684	0.00	0.00	1.00	1.00	0.65	0.58
TVMXDCGIABBOFY-UHFFFAOYSA-N~O14684	1.00	0.00	1.00	1.00	1.00	0.49
MPCAJMNYNOGXPB-UHFFFAOYSA-N~P05106	0.00	0.00	1.00	1.00	0.86	0.45
RBOFGEFNFKNYQR-UHFFFAOYSA-N~P05106	1.00	1.00	1.00	1.00	1.00	1.00
RTZKZFJDLAIYFH-UHFFFAOYSA-N~O14684	1.00	0.00	1.00	1.00	1.00	0.38
SQOXZSRJWWMMCL-UHFFFAOYSA-N~P18910	1.00	0.00	1.00	1.00	1.00	0.53
MPCAJMNYNOGXPB-UHFFFAOYSA-N~O14684	0.00	0.00	1.00	1.00	0.33	0.28
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~O14684	1.00	0.00	1.00	1.00	1.00	0.61
ZNQVEEAIQZEUHB-UHFFFAOYSA-N~O14684	1.00	0.00	1.00	1.00	1.00	0.28
IKHGUXGNUITLKF-UHFFFAOYSA-N~P18910	1.00	1.00	1.00	1.00	1.00	1.00
MXRBVRXQDKNIBH-UHFFFAOYSA-N~P18910	1.00	0.00	1.00	1.00	1.00	0.56
MXRBVRXQDKNIBH-UHFFFAOYSA-N~P05106	0.00	0.00	1.00	1.00	0.69	0.41
KTFIIPGBMUUNEO-UHFFFAOYSA-N~P18910	0.00	0.00	1.00	1.00	0.82	0.30
VCYYRDKGHLOTQU-UHFFFAOYSA-N~P18910	0.00	0.00	1.00	1.00	0.82	0.30
IKHGUXGNUITLKF-UHFFFAOYSA-N~P35956	0.00	0.00	1.00	1.00	0.33	0.33
HNPYBPXXPMVWIY-UHFFFAOYSA-N~P42697	0.25	0.29	0.67	0.77	0.43	0.46
UYTPUPDQBNUYGX-UHFFFAOYSA-N~P42697	0.11	0.29	0.86	1.00	0.34	0.57
HNPYBPXXPMVWIY-UHFFFAOYSA-N~Q5SHU3	0.21	0.40	0.41	0.80	0.31	0.57
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q5SHU3	1.00	1.00	1.00	1.00	1.00	1.00
MCHWWJLLPNDHGL-UHFFFAOYSA-N~P05181	1.00	1.00	1.00	1.00	1.00	1.00
MPCAJMNYNOGXPB-UHFFFAOYSA-N~P05181	0.00	0.00	1.00	1.00	0.17	0.22
DYHJCQLXZIELGG-UHFFFAOYSA-N~P04585	0.04	0.00	1.00	1.00	0.42	0.66
RTZKZFJDLAIYFH-UHFFFAOYSA-N~P40337	0.00	0.50	0.00	0.50	0.00	0.50
QUSNBJAOOMFDIB-UHFFFAOYSA-N~P40337	1.00	0.00	1.00	0.00	1.00	0.00
IAHZBRPNDIVNNR-UHFFFAOYSA-N~P40337	0.00	0.50	0.00	0.50	0.00	0.50
BPGIOCZAQDIBPI-UHFFFAOYSA-N~P40337	0.00	0.50	0.00	0.50	0.00	0.50
VAKGZFIDFWQAJM-UHFFFAOYSA-N~P40337	0.00	0.50	0.00	0.50	0.00	0.50
GLUUGHFHXGJENI-UHFFFAOYSA-N~P08514	1.00	0.00	1.00	1.00	1.00	0.33
LYIIBVSRGJSHAV-UHFFFAOYSA-N~P08514	1.00	1.00	1.00	1.00	1.00	1.00
GFFGJBXGBJISGV-UHFFFAOYSA-N~O06644	0.14	0.50	1.00	1.00	0.42	0.78
PCXDJQZLDDHMGX-UHFFFAOYSA-N~O06644	0.00	0.00	1.00	1.00	0.29	0.63
SQOXZSRJWWMMCL-UHFFFAOYSA-N~P05106	0.00	0.00	1.00	1.00	0.63	0.29
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q2N0S6	1.00	1.00	1.00	1.00	1.00	1.00
IKHGUXGNUITLKF-UHFFFAOYSA-N~P05106	0.00	0.00	1.00	1.00	0.83	0.75
PAYRUJLWNCNPSJ-UHFFFAOYSA-N~P08514	1.00	1.00	1.00	1.00	1.00	1.00
IKHGUXGNUITLKF-UHFFFAOYSA-N~P40337	0.00	0.00	1.00	1.00	0.74	0.25
SOSNZLGVKIPOSH-UHFFFAOYSA-N~Q2N0S6	1.00	1.00	1.00	1.00	1.00	1.00
KKRDQBWUXWRIRI-UHFFFAOYSA-N~Q2N0S6	1.00	1.00	1.00	1.00	1.00	1.00
WHKXNWSUYDTVJK-UHFFFAOYSA-N~Q2N0S6	1.00	1.00	1.00	1.00	1.00	1.00
BJCLOXWGWKEQQW-UHFFFAOYSA-N~Q2N0S6	1.00	1.00	1.00	1.00	1.00	1.00
JVWDWSZRPWGRNI-UHFFFAOYSA-N~Q2N0S6	1.00	1.00	1.00	1.00	1.00	1.00
XOBKSJJDNFUZPF-UHFFFAOYSA-N~O14684	1.00	1.00	1.00	1.00	1.00	1.00
AVJYGHLVEBECMJ-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.88	0.88
KTFIIPGBMUUNEO-UHFFFAOYSA-N~P05106	0.00	0.00	1.00	1.00	0.95	0.87
BOTPEONKTLJMSH-UHFFFAOYSA-N~P29847	0.33	0.67	1.00	1.00	0.55	0.78
RQCGWLLNSXDESE-UHFFFAOYSA-N~P40337	0.00	0.00	1.00	1.00	0.31	0.35
ISAKRJDGNUQOIC-UHFFFAOYSA-N~P11217	0.73	0.67	0.90	1.00	0.81	0.78
IJDNQMDRQITEOD-UHFFFAOYSA-N~B7JBP8	0.00	0.00	1.00	1.00	0.40	0.20
UHOVQNZJYSORNB-UHFFFAOYSA-N~P08581	0.00	0.00	1.00	1.00	0.29	0.12
WZHKDGJSXCTSCK-UHFFFAOYSA-N~B7JBP8	0.00	0.33	0.00	0.33	0.00	0.33
QZVQQUVWFIZUBQ-UHFFFAOYSA-N~P08581	0.00	0.00	1.00	1.00	0.19	0.19
OFBQJSOFQDEBGM-UHFFFAOYSA-N~B7JBP8	1.00	0.00	1.00	0.00	1.00	0.00
XGYIMTFOTBMPFP-UHFFFAOYSA-N~P11454	0.32	0.86	0.82	1.00	0.50	0.91
VVDIZWFSGJERMA-UHFFFAOYSA-N~P11454	0.33	1.00	1.00	1.00	0.55	1.00
PCXDJQZLDDHMGX-UHFFFAOYSA-N~P11454	0.00	0.50	0.00	1.00	0.00	0.67
HWJZSQBUZLGAES-UHFFFAOYSA-N~P11454	0.15	0.40	0.50	1.00	0.30	0.60
GFFGJBXGBJISGV-UHFFFAOYSA-N~P11454	0.33	1.00	1.00	1.00	0.55	1.00
SQOXZSRJWWMMCL-UHFFFAOYSA-N~P23946	1.00	1.00	1.00	1.00	1.00	1.00
RNRYNNACICANRG-UHFFFAOYSA-N~P11454	0.33	1.00	1.00	1.00	0.55	1.00
NHMBFRRLDOXKFF-UHFFFAOYSA-N~P11454	0.45	0.50	0.86	1.00	0.61	0.67
IKHGUXGNUITLKF-UHFFFAOYSA-N~P23946	0.00	0.00	1.00	1.00	0.74	0.63
KTFIIPGBMUUNEO-UHFFFAOYSA-N~P23946	1.00	1.00	1.00	1.00	1.00	1.00
OPTASPLRGRRNAP-UHFFFAOYSA-N~P72224	1.00	1.00	1.00	1.00	1.00	1.00
MXRBVRXQDKNIBH-UHFFFAOYSA-N~P23946	0.00	0.00	1.00	1.00	0.86	0.23
XTXSRNPFTNSIFY-UHFFFAOYSA-N~P23946	0.07	0.12	0.07	0.12	0.07	0.12
YNAVUWVOSKDBBP-UHFFFAOYSA-N~P23946	1.00	0.00	1.00	0.00	1.00	0.00
LYCAIKOWRPUZTN-UHFFFAOYSA-N~P72224	0.00	0.00	1.00	0.33	0.30	0.03
LYCAIKOWRPUZTN-UHFFFAOYSA-N~P72222	1.00	1.00	1.00	1.00	1.00	1.00
VCYYRDKGHLOTQU-UHFFFAOYSA-N~P23946	1.00	1.00	1.00	1.00	1.00	1.00
IKHGUXGNUITLKF-UHFFFAOYSA-N~P27809	1.00	1.00	1.00	1.00	1.00	1.00
SQOXZSRJWWMMCL-UHFFFAOYSA-N~P27809	1.00	0.00	1.00	1.00	1.00	0.44
RBOFGEFNFKNYQR-UHFFFAOYSA-N~P27809	1.00	1.00	1.00	1.00	1.00	1.00
QFHKFGOUFKUPNX-UHFFFAOYSA-N~P27809	1.00	1.00	1.00	1.00	1.00	1.00
MPCAJMNYNOGXPB-UHFFFAOYSA-N~P27809	1.00	1.00	1.00	1.00	1.00	1.00
NJHDOZRKTCPDQE-UHFFFAOYSA-N~P27809	0.00	1.00	1.00	1.00	0.33	1.00
DYBAQWLAKFCVBP-UHFFFAOYSA-N~P27809	1.00	1.00	1.00	1.00	1.00	1.00
PZLPHPNLSOFQMW-UHFFFAOYSA-N~P27809	0.00	0.50	0.00	1.00	0.00	0.67
KTFIIPGBMUUNEO-UHFFFAOYSA-N~P27809	1.00	0.00	1.00	1.00	1.00	0.33
VCYYRDKGHLOTQU-UHFFFAOYSA-N~P27809	1.00	0.00	1.00	1.00	1.00	0.33
WGQKYBSKWIADBV-UHFFFAOYSA-N~P40337	0.00	0.25	1.00	1.00	0.67	0.83
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~P27809	1.00	0.00	1.00	1.00	1.00	0.17
XTXSRNPFTNSIFY-UHFFFAOYSA-N~P27809	0.00	0.00	1.00	0.50	0.17	0.24
MXRBVRXQDKNIBH-UHFFFAOYSA-N~P27809	1.00	1.00	1.00	1.00	1.00	1.00
UYTPUPDQBNUYGX-UHFFFAOYSA-N~P27809	0.54	0.60	0.76	0.89	0.66	0.75
HNPYBPXXPMVWIY-UHFFFAOYSA-N~P27809	0.56	0.54	0.79	0.83	0.66	0.67
WFCSWCVEJLETKA-UHFFFAOYSA-N~P27809	0.00	0.25	0.50	1.00	0.20	0.43
NRNCQWQVCPBMII-UHFFFAOYSA-N~P27809	0.00	0.00	0.50	0.67	0.10	0.23
GLUUGHFHXGJENI-UHFFFAOYSA-N~P27809	0.00	0.00	1.00	1.00	0.50	0.25
DYHJCQLXZIELGG-UHFFFAOYSA-N~P04584	0.65	0.86	0.65	0.86	0.65	0.86
SMZUMFSKQVVOOV-UHFFFAOYSA-N~P04584	0.08	0.33	0.92	1.00	0.29	0.56
NNPPMTNAJDCUHE-UHFFFAOYSA-N~P04584	1.00	1.00	1.00	1.00	1.00	1.00
RHCZPSYTFNEZBK-UHFFFAOYSA-N~P04584	0.43	0.56	0.83	1.00	0.60	0.72
MOAAMDLYGHUMOE-UHFFFAOYSA-N~P04584	0.43	0.56	0.83	1.00	0.60	0.72
XDJREQJXWMAAKA-UHFFFAOYSA-N~P04584	0.31	0.57	0.92	1.00	0.52	0.71
GFFGJBXGBJISGV-UHFFFAOYSA-N~P21631	0.00	0.33	1.00	1.00	0.83	0.89
VBDHNUHBSKNOMC-UHFFFAOYSA-N~P21631	1.00	1.00	1.00	1.00	1.00	1.00
QPMCUNAXNMSGTK-UHFFFAOYSA-N~P21631	1.00	1.00	1.00	1.00	1.00	1.00
FFMZJRIUKRMUJN-UHFFFAOYSA-N~P21631	0.41	0.55	1.00	1.00	0.60	0.75
QNAYBMKLOCPYGJ-UHFFFAOYSA-N~P21631	1.00	1.00	1.00	1.00	1.00	1.00
IQLMNJFYNWPSST-UHFFFAOYSA-N~P21631	0.30	0.33	0.88	1.00	0.54	0.60
OAKURXIZZOAYBC-UHFFFAOYSA-N~P58687	0.00	0.00	0.00	0.00	0.00	0.00
ROSDSFDQCJNGOL-UHFFFAOYSA-N~P35557	1.00	1.00	1.00	1.00	1.00	1.00
CYZZKTRFOOKUMT-UHFFFAOYSA-N~Q15KI8	0.00	0.14	0.81	1.00	0.26	0.52
WSMYVTOQOOLQHP-UHFFFAOYSA-N~P58687	0.00	0.00	0.00	0.00	0.00	0.00
HNPYBPXXPMVWIY-UHFFFAOYSA-N~Q9HHB6	0.31	0.22	0.85	1.00	0.60	0.60
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q9HHB6	0.00	0.00	1.00	1.00	0.54	0.57
IKHGUXGNUITLKF-UHFFFAOYSA-N~P16113	0.00	0.00	1.00	1.00	0.37	0.62
UXKNAXNFIYFMIB-UHFFFAOYSA-N~Q9H3S4	0.56	0.80	0.56	0.80	0.56	0.80
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~P80025	0.00	0.00	1.00	1.00	0.70	0.41
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~Q12BV1	1.00	0.00	1.00	1.00	1.00	0.43
UHOVQNZJYSORNB-UHFFFAOYSA-N~O95271	0.00	0.00	1.00	1.00	0.20	0.32
LYCAIKOWRPUZTN-UHFFFAOYSA-N~P27809	0.00	0.00	1.00	0.00	0.17	0.00
NRNCQWQVCPBMII-UHFFFAOYSA-N~Q12BV1	0.00	0.20	0.50	0.75	0.21	0.52
XTXSRNPFTNSIFY-UHFFFAOYSA-N~Q12BV1	0.00	0.25	0.33	1.00	0.07	0.49
GLUUGHFHXGJENI-UHFFFAOYSA-N~Q12BV1	0.00	0.00	1.00	1.00	0.71	0.43
WFCSWCVEJLETKA-UHFFFAOYSA-N~Q12BV1	0.20	0.25	1.00	1.00	0.45	0.59
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~O43504	1.00	0.00	1.00	0.00	1.00	0.00
VLKZOEOYAKHREP-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.50	0.28
KPADFPAILITQBG-UHFFFAOYSA-N~nan	1.00	1.00	1.00	1.00	1.00	1.00
VNGRIQMEDUZTCJ-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.89	0.79
QGUDMPDYXLMJNK-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.26	0.25
YCBSHDKATAPNIA-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.28	0.32
GFFGJBXGBJISGV-UHFFFAOYSA-N~E5XP76	0.19	0.10	1.00	1.00	0.53	0.53
LCGLNKUTAGEVQW-UHFFFAOYSA-N~Q9NWM8	1.00	0.00	1.00	0.00	1.00	0.00
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q9NWM8	1.00	0.00	1.00	0.00	1.00	0.00
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q6RKB1	0.44	0.80	0.67	1.00	0.54	0.87
CYZZKTRFOOKUMT-UHFFFAOYSA-N~Q6RKB1	0.57	0.64	0.76	0.90	0.70	0.75
XJRBAMWJDBPFIM-UHFFFAOYSA-N~Q9NWM8	1.00	0.00	1.00	0.00	1.00	0.00
MPCAJMNYNOGXPB-UHFFFAOYSA-N~Q26966	0.00	0.00	1.00	1.00	0.60	0.25
ANXAMAPJPAIPER-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.73	0.60
WLTSXAIICPDFKI-UHFFFAOYSA-N~nan	1.00	1.00	1.00	1.00	1.00	1.00
BDERNNFJNOPAEC-UHFFFAOYSA-N~P56817	1.00	1.00	1.00	1.00	1.00	1.00
ZENZJGDPWWLORF-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.44	0.37
HDEMQQHXNOJATE-UHFFFAOYSA-N~Q26966	0.00	0.00	1.00	1.00	0.41	0.23
JARKCYVAAOWBJS-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.97	0.87
SOSNZLGVKIPOSH-UHFFFAOYSA-N~Q26966	0.44	0.17	0.68	0.67	0.56	0.38
JVWDWSZRPWGRNI-UHFFFAOYSA-N~Q26966	0.33	0.17	0.74	0.62	0.50	0.32
QXAMTEJJAZOINB-UHFFFAOYSA-N~Q09LY9	0.00	0.00	1.00	1.00	0.37	0.59
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q09LY9	0.00	0.00	1.00	1.00	0.40	0.40
WHKXNWSUYDTVJK-UHFFFAOYSA-N~Q26966	0.31	0.11	0.60	0.83	0.45	0.35
ZOFRRNUENOHELM-UHFFFAOYSA-N~O60259	0.00	0.50	1.00	1.00	0.50	0.75
QDHDQJXBEOUAGE-UHFFFAOYSA-N~Q09LY9	0.00	0.00	1.00	1.00	0.37	0.59
IKHGUXGNUITLKF-UHFFFAOYSA-N~O75899	1.00	0.00	1.00	1.00	1.00	0.85
UJGYSOUSSLZXIH-UHFFFAOYSA-N~O60259	0.00	0.00	0.33	0.50	0.11	0.15
OCKLDMXNAWIJHV-UHFFFAOYSA-N~O60259	0.00	0.00	1.00	0.67	0.22	0.11
YXFVVABEGXRONW-UHFFFAOYSA-N~P25774	0.00	0.00	1.00	1.00	0.58	0.26
IKHGUXGNUITLKF-UHFFFAOYSA-N~O60259	1.00	0.00	1.00	1.00	1.00	0.50
QTBSBXVTEAMEQO-UHFFFAOYSA-N~E5XP76	0.00	0.00	0.00	0.00	0.00	0.00
MXRBVRXQDKNIBH-UHFFFAOYSA-N~O75899	1.00	0.00	1.00	1.00	1.00	0.78
IKHGUXGNUITLKF-UHFFFAOYSA-N~E5XP76	1.00	1.00	1.00	1.00	1.00	1.00
CYZZKTRFOOKUMT-UHFFFAOYSA-N~E5XP76	0.50	0.45	0.82	0.80	0.62	0.60
HGBOYTHUEUWSSQ-UHFFFAOYSA-N~P56817	1.00	1.00	1.00	1.00	1.00	1.00
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~Q99523	1.00	0.00	1.00	1.00	1.00	0.60
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q99523	0.00	0.00	1.00	1.00	0.78	0.21
XXJWXESWEXIICW-UHFFFAOYSA-N~Q99523	0.00	0.00	0.00	0.00	0.00	0.00
MPCAJMNYNOGXPB-UHFFFAOYSA-N~Q99523	1.00	1.00	1.00	1.00	1.00	1.00
RTZKZFJDLAIYFH-UHFFFAOYSA-N~Q99523	1.00	0.00	1.00	0.00	1.00	0.00
ZNQVEEAIQZEUHB-UHFFFAOYSA-N~Q99523	0.00	0.00	1.00	1.00	0.60	0.60
QCHXLHKARBTJRC-UHFFFAOYSA-N~O43570	0.00	0.20	0.17	0.50	0.06	0.32
SQOXZSRJWWMMCL-UHFFFAOYSA-N~Q99523	0.00	0.00	1.00	1.00	0.95	0.46
PKRTWUQHAOJXBO-UHFFFAOYSA-N~O43570	0.00	0.14	0.56	0.62	0.19	0.31
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~O43570	1.00	0.00	1.00	1.00	1.00	0.47
KTFIIPGBMUUNEO-UHFFFAOYSA-N~Q99523	0.00	0.00	1.00	1.00	0.90	0.44
QRTDTRCGZCHEER-UHFFFAOYSA-N~O43570	0.00	0.12	0.54	0.75	0.18	0.35
UFULAYFCSOUIOV-UHFFFAOYSA-N~E5XP76	1.00	1.00	1.00	1.00	1.00	1.00
RWUSSVGNCBRGQP-UHFFFAOYSA-N~P04585	0.30	0.43	0.70	1.00	0.47	0.57
PCXDJQZLDDHMGX-UHFFFAOYSA-N~E5XP76	1.00	1.00	1.00	1.00	1.00	1.00
NMTZPYLSXWGDPW-UHFFFAOYSA-N~E5XP76	0.33	0.40	1.00	1.00	0.59	0.65
NJQRAAHKQQPUIT-UHFFFAOYSA-N~B2HN69	1.00	1.00	1.00	1.00	1.00	1.00
DOMXBIBBBIULRS-UHFFFAOYSA-N~O43570	0.00	0.14	0.25	0.71	0.08	0.35
NHMBFRRLDOXKFF-UHFFFAOYSA-N~E5XP76	0.59	0.78	0.85	0.88	0.71	0.83
HWJZSQBUZLGAES-UHFFFAOYSA-N~E5XP76	0.42	0.71	0.62	0.83	0.54	0.77
GFFGJBXGBJISGV-UHFFFAOYSA-N~B2HN69	0.71	0.86	0.94	1.00	0.81	0.91
JWEZZFQTYSYUAW-UHFFFAOYSA-N~Q5NHD0	0.00	0.00	0.00	0.00	0.00	0.00
KABXUUFDPUOJMW-UHFFFAOYSA-N~Q5NHD0	0.00	0.00	0.00	0.00	0.00	0.00
VCKKIBXLKQRNGR-UHFFFAOYSA-N~Q14397	0.00	0.00	1.00	1.00	0.30	0.28
ZUKPVRWZDMRIEO-UHFFFAOYSA-N~Q5NHD0	0.15	0.00	0.15	0.00	0.15	0.00
LYIIBVSRGJSHAV-UHFFFAOYSA-N~Q5NHD0	0.00	0.00	0.00	0.00	0.00	0.00
MDHFEQWZBNXIPB-UHFFFAOYSA-N~Q5NHD0	0.00	0.00	0.00	0.00	0.00	0.00
DHMQDGOQFOQNFH-UHFFFAOYSA-N~Q5NHD0	0.00	0.00	0.00	0.00	0.00	0.00
BOTPEONKTLJMSH-UHFFFAOYSA-N~Q5NHD0	0.00	0.00	0.00	0.00	0.00	0.00
YQCROAODSKXWOY-UHFFFAOYSA-N~Q5NHD0	0.00	0.00	0.00	0.00	0.00	0.00
QFHKFGOUFKUPNX-UHFFFAOYSA-N~P19999	0.00	0.00	1.00	1.00	0.33	0.33
WLNHKRJWDKPSIL-UHFFFAOYSA-N~Q5NHD0	0.00	0.00	0.00	0.00	0.00	0.00
GUXGAKDINXMYNZ-UHFFFAOYSA-N~Q5NHD0	0.11	0.00	0.11	0.00	0.11	0.00
UHUFTBALEZWWIH-UHFFFAOYSA-N~P0A333	0.00	0.00	1.00	1.00	0.26	0.38
CUKWUVLQXJUCFS-UHFFFAOYSA-N~Q5NHD0	0.11	0.00	0.11	0.00	0.11	0.00
IKHGUXGNUITLKF-UHFFFAOYSA-N~B0UXY7	1.00	0.00	1.00	1.00	1.00	0.46
MPCAJMNYNOGXPB-UHFFFAOYSA-N~B0UXY7	1.00	1.00	1.00	1.00	1.00	1.00
KTFIIPGBMUUNEO-UHFFFAOYSA-N~B0UXY7	1.00	1.00	1.00	1.00	1.00	1.00
NZYHOIVONUQSLS-UHFFFAOYSA-N~B0UXY7	1.00	1.00	1.00	1.00	1.00	1.00
SQOXZSRJWWMMCL-UHFFFAOYSA-N~B0UXY7	1.00	1.00	1.00	1.00	1.00	1.00
CXKMFPLGXVOINE-UHFFFAOYSA-N~O75899	0.00	0.00	1.00	1.00	0.47	0.60
KBVSUNBCTPQWJL-UHFFFAOYSA-N~O75899	0.00	0.00	1.00	1.00	0.71	0.71
WEBNDTMKKAYEQS-UHFFFAOYSA-N~O75899	1.00	1.00	1.00	1.00	1.00	1.00
VCYYRDKGHLOTQU-UHFFFAOYSA-N~O75899	1.00	1.00	1.00	1.00	1.00	1.00
PMHXYERTGTWZAG-UHFFFAOYSA-N~O75899	1.00	1.00	1.00	1.00	1.00	1.00
PAYRUJLWNCNPSJ-UHFFFAOYSA-N~O95271	0.33	0.67	1.00	1.00	0.67	0.83
CQIUZHAQYHXKRY-UHFFFAOYSA-N~P00520	0.00	0.50	1.00	1.00	0.33	0.75
MXRBVRXQDKNIBH-UHFFFAOYSA-N~B0UXY7	1.00	1.00	1.00	1.00	1.00	1.00
MSWZFWKMSRAUBD-UHFFFAOYSA-N~P80025	0.00	0.00	0.00	0.50	0.00	0.18
YXFVVABEGXRONW-UHFFFAOYSA-N~P00520	0.80	1.00	1.00	1.00	0.90	1.00
BGHCVCJVXZWKCC-UHFFFAOYSA-N~Q66478	0.80	0.60	1.00	1.00	0.88	0.80
UXKNAXNFIYFMIB-UHFFFAOYSA-N~Q8L388	0.00	0.25	1.00	1.00	0.32	0.66
HUMNYLRZRPPJDN-UHFFFAOYSA-N~P03300	0.14	0.50	0.80	1.00	0.37	0.67
MUVQIIBPDFTEKM-UHFFFAOYSA-N~Q66478	0.11	0.12	1.00	1.00	0.33	0.42
BVRKOQJETMBIDK-UHFFFAOYSA-N~P00520	0.00	0.50	1.00	1.00	0.33	0.75
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~P03300	0.00	0.00	1.00	1.00	0.86	0.74
YNAVUWVOSKDBBP-UHFFFAOYSA-N~A4JQH6	1.00	0.00	1.00	1.00	1.00	0.54
UXKNAXNFIYFMIB-UHFFFAOYSA-N~Q6QBS4	0.60	0.75	0.60	0.75	0.60	0.75
XTXSRNPFTNSIFY-UHFFFAOYSA-N~A4JQH6	0.33	0.80	1.00	1.00	0.56	0.89
BDAGIHXWWSANSR-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.59	0.20
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q9R381	0.00	0.00	1.00	1.00	0.52	0.29
KYQCOXFCLRTKLS-UHFFFAOYSA-N~P11309	0.00	0.00	0.67	1.00	0.11	0.25
YXFVVABEGXRONW-UHFFFAOYSA-N~P11309	0.00	0.00	1.00	1.00	0.52	0.50
PAFZNILMFXTMIY-UHFFFAOYSA-N~P11309	0.00	0.00	0.33	1.00	0.07	0.30
PCXDJQZLDDHMGX-UHFFFAOYSA-N~Q9R381	0.00	0.00	1.00	1.00	0.21	0.39
KBVSUNBCTPQWJL-UHFFFAOYSA-N~Q9XJP3	0.40	0.75	0.83	1.00	0.61	0.93
UXUFMKFUJJLWKM-UHFFFAOYSA-N~Q9XJP3	0.25	1.00	1.00	1.00	0.57	1.00
JOAKUIIGLMLEGB-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.28	0.30
SYNQCHHUCDDFHE-UHFFFAOYSA-N~Q9XJP3	1.00	0.00	1.00	1.00	1.00	0.71
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q9XJP3	1.00	1.00	1.00	1.00	1.00	1.00
XPFZSQWNBYCQMP-UHFFFAOYSA-N~Q9XJP3	0.00	0.00	1.00	1.00	0.26	0.46
DXGAIOIQACHYRK-UHFFFAOYSA-N~Q32FD6	0.16	0.17	0.64	0.67	0.44	0.38
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q32FD6	1.00	1.00	1.00	1.00	1.00	1.00
JOHLACWQNVOSEF-UHFFFAOYSA-N~Q32FD6	0.55	0.57	1.00	1.00	0.77	0.79
BKOOMYPCSUNDGP-UHFFFAOYSA-N~P51449	1.00	1.00	1.00	1.00	1.00	1.00
UHOVQNZJYSORNB-UHFFFAOYSA-N~P51449	0.00	0.00	1.00	1.00	0.33	0.33
IKHGUXGNUITLKF-UHFFFAOYSA-N~A5IL00	0.00	0.00	1.00	1.00	0.37	0.17
QJKCLMAXOCYFEJ-UHFFFAOYSA-N~P96896	0.00	0.00	0.00	0.00	0.00	0.00
ATUOYWHBWRKTHZ-UHFFFAOYSA-N~P51449	0.00	0.00	1.00	1.00	0.71	0.31
HNPYBPXXPMVWIY-UHFFFAOYSA-N~Q60365	0.22	0.31	0.72	0.71	0.47	0.48
MPCAJMNYNOGXPB-UHFFFAOYSA-N~Q7M1T4	0.00	0.00	0.62	0.86	0.32	0.44
OPTASPLRGRRNAP-UHFFFAOYSA-N~Q60365	0.20	0.29	1.00	1.00	0.52	0.68
VXNZUUAINFGPBY-UHFFFAOYSA-N~P0A954	1.00	0.00	1.00	1.00	1.00	0.46
KYPWIZMAJMNPMJ-UHFFFAOYSA-N~Q7M1T4	0.00	0.00	0.38	0.60	0.10	0.26
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~P03302	0.50	1.00	1.00	1.00	0.67	1.00
HUMNYLRZRPPJDN-UHFFFAOYSA-N~P03302	0.75	1.00	1.00	1.00	0.88	1.00
FFMZJRIUKRMUJN-UHFFFAOYSA-N~B9RU15	0.27	0.38	1.00	1.00	0.60	0.67
GFFGJBXGBJISGV-UHFFFAOYSA-N~B9RU15	0.50	0.50	1.00	1.00	0.73	0.72
IQLMNJFYNWPSST-UHFFFAOYSA-N~B9RU15	0.17	0.33	1.00	1.00	0.51	0.61
NUJGJRNETVAIRJ-UHFFFAOYSA-N~P00268	0.00	0.00	0.00	0.00	0.00	0.00
HUMNYLRZRPPJDN-UHFFFAOYSA-N~P51449	0.14	0.12	0.56	0.33	0.30	0.25
TZJGKUCHNFFHGN-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.20	0.11
